song,album,prev,lyric,next
The Singer,Kicking Against The Pricks,And when I am but dust and clay,And all the children stop to take a look,Will they marvel at the miracles I did perform
The Singer,Kicking Against The Pricks,And all the children stop to take a look,Will they marvel at the miracles I did perform,And the heights I did aspire
The Singer,Kicking Against The Pricks,Will they marvel at the miracles I did perform,And the heights I did aspire,Or will they tear out the pages of the book
The Singer,Kicking Against The Pricks,And the heights I did aspire,Or will they tear out the pages of the book,To light a fire
The Singer,Kicking Against The Pricks,Or will they tear out the pages of the book,To light a fire,With the rain on my face
The Singer,Kicking Against The Pricks,To light a fire,With the rain on my face,There is no place where I belong
The Singer,Kicking Against The Pricks,With the rain on my face,There is no place where I belong,Did you forget this fucking singer so soon?
The Singer,Kicking Against The Pricks,There is no place where I belong,Did you forget this fucking singer so soon?,And did you forget my song?
The Singer,Kicking Against The Pricks,Did you forget this fucking singer so soon?,And did you forget my song?,
All Tomorrow’s Parties,Kicking Against The Pricks,,And what costume shall the poor girl wear,To all tomorrow’s parties
All Tomorrow’s Parties,Kicking Against The Pricks,And what costume shall the poor girl wear,To all tomorrow’s parties,
All Tomorrow’s Parties,Kicking Against The Pricks,To all tomorrow’s parties,,A hand-me-down dress from who knows where
All Tomorrow’s Parties,Kicking Against The Pricks,,A hand-me-down dress from who knows where,To all tomorrow’s parties
All Tomorrow’s Parties,Kicking Against The Pricks,A hand-me-down dress from who knows where,To all tomorrow’s parties,And where will she go and what shall she do
All Tomorrow’s Parties,Kicking Against The Pricks,To all tomorrow’s parties,And where will she go and what shall she do,When midnight comes around
All Tomorrow’s Parties,Kicking Against The Pricks,And where will she go and what shall she do,When midnight comes around,She’ll turn once more to Sunday’s gown
All Tomorrow’s Parties,Kicking Against The Pricks,When midnight comes around,She’ll turn once more to Sunday’s gown,And cry behind the door
All Tomorrow’s Parties,Kicking Against The Pricks,She’ll turn once more to Sunday’s gown,And cry behind the door,
All Tomorrow’s Parties,Kicking Against The Pricks,And cry behind the door,,And what costume shall the poor girl wear
All Tomorrow’s Parties,Kicking Against The Pricks,,And what costume shall the poor girl wear,To all tomorrow’s parties
All Tomorrow’s Parties,Kicking Against The Pricks,And what costume shall the poor girl wear,To all tomorrow’s parties,
All Tomorrow’s Parties,Kicking Against The Pricks,To all tomorrow’s parties,,Why silks and plumes of yesterday’s gowns
All Tomorrow’s Parties,Kicking Against The Pricks,,Why silks and plumes of yesterday’s gowns,To all tomorrow’s parties
All Tomorrow’s Parties,Kicking Against The Pricks,Why silks and plumes of yesterday’s gowns,To all tomorrow’s parties,And what shall she do with Thursday’s rags
All Tomorrow’s Parties,Kicking Against The Pricks,To all tomorrow’s parties,And what shall she do with Thursday’s rags,When Monday comes around
All Tomorrow’s Parties,Kicking Against The Pricks,And what shall she do with Thursday’s rags,When Monday comes around,She’ll turn once more to Sunday’s clown
All Tomorrow’s Parties,Kicking Against The Pricks,When Monday comes around,She’ll turn once more to Sunday’s clown,And cry behind the door
All Tomorrow’s Parties,Kicking Against The Pricks,She’ll turn once more to Sunday’s clown,And cry behind the door,
All Tomorrow’s Parties,Kicking Against The Pricks,And cry behind the door,,And what costume shall the poor girl wear
All Tomorrow’s Parties,Kicking Against The Pricks,,And what costume shall the poor girl wear,To all tomorrow’s parties
All Tomorrow’s Parties,Kicking Against The Pricks,And what costume shall the poor girl wear,To all tomorrow’s parties,
All Tomorrow’s Parties,Kicking Against The Pricks,To all tomorrow’s parties,,For Thursday’s child is Sunday’s clown
All Tomorrow’s Parties,Kicking Against The Pricks,,For Thursday’s child is Sunday’s clown,For whom none will go mourning
All Tomorrow’s Parties,Kicking Against The Pricks,For Thursday’s child is Sunday’s clown,For whom none will go mourning,"A blackened shroud, a hand-me-down gown"
All Tomorrow’s Parties,Kicking Against The Pricks,For whom none will go mourning,"A blackened shroud, a hand-me-down gown","Of rags and silks, a costume"
All Tomorrow’s Parties,Kicking Against The Pricks,"A blackened shroud, a hand-me-down gown","Of rags and silks, a costume",Fit for one who sits and cries
All Tomorrow’s Parties,Kicking Against The Pricks,"Of rags and silks, a costume",Fit for one who sits and cries,For all tomorrow’s parties
All Tomorrow’s Parties,Kicking Against The Pricks,Fit for one who sits and cries,For all tomorrow’s parties,
By The Time I Get To Phoenix,Kicking Against The Pricks,,"By the time I get to Phoenix, she’ll be rising",And she’ll find that note that I left hanging on the door
By The Time I Get To Phoenix,Kicking Against The Pricks,"By the time I get to Phoenix, she’ll be rising",And she’ll find that note that I left hanging on the door,And she’ll laugh when she reads the part
By The Time I Get To Phoenix,Kicking Against The Pricks,And she’ll find that note that I left hanging on the door,And she’ll laugh when she reads the part,That says: “I’m leaving”
By The Time I Get To Phoenix,Kicking Against The Pricks,And she’ll laugh when she reads the part,That says: “I’m leaving”,Cause I’ve left that girl so many times before
By The Time I Get To Phoenix,Kicking Against The Pricks,That says: “I’m leaving”,Cause I’ve left that girl so many times before,
