song,album,prev,lyric,next,artist,year,,
Stow-A-Way,Burning the Ice,,My girl turned as blue as an iceberg do,And me I’m totally shipwrecked over her,Die Haut,1983,,
Stow-A-Way,Burning the Ice,My girl turned as blue as an iceberg do,And me I’m totally shipwrecked over her,Baby baby don’t blow away,Die Haut,1983,,
Stow-A-Way,Burning the Ice,And me I’m totally shipwrecked over her,Baby baby don’t blow away,Hey hey I am the stow-a-way,Die Haut,1983,,
Stow-A-Way,Burning the Ice,Baby baby don’t blow away,Hey hey I am the stow-a-way,I am the stow-a-way,Die Haut,1983,,
Stow-A-Way,Burning the Ice,Hey hey I am the stow-a-way,I am the stow-a-way,,Die Haut,1983,,
Stow-A-Way,Burning the Ice,I am the stow-a-way,,This is your captain talking to ya,Die Haut,1983,,
Stow-A-Way,Burning the Ice,,This is your captain talking to ya,This is your captain talking to ya,Die Haut,1983,,
Stow-A-Way,Burning the Ice,This is your captain talking to ya,This is your captain talking to ya,This is your captain talking to ya,Die Haut,1983,,
Stow-A-Way,Burning the Ice,This is your captain talking to ya,This is your captain talking to ya,This is your captain talking to ya,Die Haut,1983,,
Stow-A-Way,Burning the Ice,This is your captain talking to ya,This is your captain talking to ya,,Die Haut,1983,,
Stow-A-Way,Burning the Ice,This is your captain talking to ya,,Heartache,Die Haut,1983,,
Stow-A-Way,Burning the Ice,,Heartache,,Die Haut,1983,,
Stow-A-Way,Burning the Ice,Heartache,,Hey hey I am the stow-a-way,Die Haut,1983,,
Stow-A-Way,Burning the Ice,,Hey hey I am the stow-a-way,I am the stow-a-way,Die Haut,1983,,
Stow-A-Way,Burning the Ice,Hey hey I am the stow-a-way,I am the stow-a-way,,Die Haut,1983,,
Stow-A-Way,Burning the Ice,I am the stow-a-way,,My baby turned as blue as an iceberg do,Die Haut,1983,,
Stow-A-Way,Burning the Ice,,My baby turned as blue as an iceberg do,And I sank to the bottom of the sea,Die Haut,1983,,
Stow-A-Way,Burning the Ice,My baby turned as blue as an iceberg do,And I sank to the bottom of the sea,Hey baby don’t blow away,Die Haut,1983,,
Stow-A-Way,Burning the Ice,And I sank to the bottom of the sea,Hey baby don’t blow away,Hey hey I am the stow-a-way,Die Haut,1983,,
Stow-A-Way,Burning the Ice,Hey baby don’t blow away,Hey hey I am the stow-a-way,I am the stow-a-way,Die Haut,1983,,
Stow-A-Way,Burning the Ice,Hey hey I am the stow-a-way,I am the stow-a-way,,Die Haut,1983,,
Stow-A-Way,Burning the Ice,I am the stow-a-way,,This is your doctor talking to ya,Die Haut,1983,,
Stow-A-Way,Burning the Ice,,This is your doctor talking to ya,This is your doctor talking to ya,Die Haut,1983,,
Stow-A-Way,Burning the Ice,This is your doctor talking to ya,This is your doctor talking to ya,This is your doctor talking to ya,Die Haut,1983,,
Stow-A-Way,Burning the Ice,This is your doctor talking to ya,This is your doctor talking to ya,This is your doctor talking to ya,Die Haut,1983,,
Stow-A-Way,Burning the Ice,This is your doctor talking to ya,This is your doctor talking to ya,,Die Haut,1983,,
Stow-A-Way,Burning the Ice,This is your doctor talking to ya,,Heartache,Die Haut,1983,,
Stow-A-Way,Burning the Ice,,Heartache,,Die Haut,1983,,
Dumb Europe,Burning the Ice,,On this European night out on the brink,The cafés and the bars still stink,Die Haut,1983,,
Dumb Europe,Burning the Ice,On this European night out on the brink,The cafés and the bars still stink,The air is much too thick for seeing,Die Haut,1983,,
Dumb Europe,Burning the Ice,The cafés and the bars still stink,The air is much too thick for seeing,But not thick enough for leaning,Die Haut,1983,,
Dumb Europe,Burning the Ice,The air is much too thick for seeing,But not thick enough for leaning,I leave in a catatonic crawl,Die Haut,1983,,
Dumb Europe,Burning the Ice,But not thick enough for leaning,I leave in a catatonic crawl,And if I die tonight then throw me in,Die Haut,1983,,
Dumb Europe,Burning the Ice,I leave in a catatonic crawl,And if I die tonight then throw me in,Some bleak teutonic hole,Die Haut,1983,,
Dumb Europe,Burning the Ice,And if I die tonight then throw me in,Some bleak teutonic hole,Six feet under with a snap-frozen soul,Die Haut,1983,,
Dumb Europe,Burning the Ice,Some bleak teutonic hole,Six feet under with a snap-frozen soul,And really we could all just die of shame,Die Haut,1983,,
Dumb Europe,Burning the Ice,Six feet under with a snap-frozen soul,And really we could all just die of shame,And really we could all just die of shame,Die Haut,1983,,
Dumb Europe,Burning the Ice,And really we could all just die of shame,And really we could all just die of shame,"Dumb Europe, Dumb Europe, Dumb Europe",Die Haut,1983,,
Dumb Europe,Burning the Ice,And really we could all just die of shame,"Dumb Europe, Dumb Europe, Dumb Europe",,Die Haut,1983,,
Dumb Europe,Burning the Ice,"Dumb Europe, Dumb Europe, Dumb Europe",,Oh the Utopian night on the brink,Die Haut,1983,,
Dumb Europe,Burning the Ice,,Oh the Utopian night on the brink,Mama’s face staring up at me from the bottom of the sink,Die Haut,1983,,
Dumb Europe,Burning the Ice,Oh the Utopian night on the brink,Mama’s face staring up at me from the bottom of the sink,Witness my trail of destruction,Die Haut,1983,,
Dumb Europe,Burning the Ice,Mama’s face staring up at me from the bottom of the sink,Witness my trail of destruction,Trying to leave this drinking place,Die Haut,1983,,
Dumb Europe,Burning the Ice,Witness my trail of destruction,Trying to leave this drinking place,My feet are magnetized for furniture,Die Haut,1983,,
Dumb Europe,Burning the Ice,Trying to leave this drinking place,My feet are magnetized for furniture,The floor’s attracted to my face,Die Haut,1983,,
Dumb Europe,Burning the Ice,My feet are magnetized for furniture,The floor’s attracted to my face,And if I die tonight,Die Haut,1983,,
Dumb Europe,Burning the Ice,The floor’s attracted to my face,And if I die tonight,Sell me as some prehistoric bone,Die Haut,1983,,
Dumb Europe,Burning the Ice,And if I die tonight,Sell me as some prehistoric bone,A lump of junk-souvenir for Jap,Die Haut,1983,,
Dumb Europe,Burning the Ice,Sell me as some prehistoric bone,A lump of junk-souvenir for Jap,To fob off on his friends back home,Die Haut,1983,,
Dumb Europe,Burning the Ice,A lump of junk-souvenir for Jap,To fob off on his friends back home,The money-dance …,Die Haut,1983,,
